"","city","date","MaxTemp_mae","MinTemp_mae","count.x","count.y","long","lat","MaxTemp","MaxTemp_forecast","MinTemp","MinTemp_forecast","year","month"
"89","Anchorage",Jul 2015,4.16279069767442,2.41860465116279,215,215,-149.9,61.2167,68.3548387096774,66.3602150537634,55.3225806451613,53.7903225806452,2015,7
"90","Anchorage",Aug 2015,4.44239631336406,2.64516129032258,217,217,-149.9,61.2167,68.0645161290323,64.3410138248848,51.8387096774194,50.6082949308756,2015,8
"91","Anchorage",Sep 2015,3.12380952380952,3.84285714285714,210,210,-149.9,61.2167,54.0666666666667,52.9380952380952,41,40.9285714285714,2015,9
"92","Anchorage",Oct 2015,2.29064039408867,2.77339901477833,203,203,-149.9,61.2167,46.4516129032258,45.105376344086,36.3225806451613,36.5900153609831,2015,10
"93","Anchorage",Nov 2015,5.78048780487805,6.1219512195122,41,41,-149.9,61.2167,23.2941176470588,23.5323529411765,11.1176470588235,13.9529411764706,2015,11
"94","Anchorage",Dec 2015,4.86363636363636,4.62121212121212,66,66,-149.9,61.2167,23.7727272727273,21.3166666666667,14.7727272727273,14.4295454545455,2015,12
"95","Anchorage",Jan 2016,4.37179487179487,5.65705128205128,156,156,-149.9,61.2167,30.037037037037,30.9555555555556,20,23.8358024691358,2016,1
"96","Anchorage",Feb 2016,3.45238095238095,2.73511904761905,168,168,-149.9,61.2167,35.3793103448276,33.9724137931034,23.5172413793103,24.9706896551724,2016,2
"97","Anchorage",Mar 2016,4.19135802469136,2.92901234567901,162,162,-149.9,61.2167,41.7741935483871,39.3908602150538,26.9032258064516,27.8948924731183,2016,3
"98","Anchorage",Apr 2016,2.91954022988506,2.75862068965517,174,174,-149.9,61.2167,53.7,51.0455555555556,37.0666666666667,36.8538888888889,2016,4
"99","Anchorage",May 2016,3.89247311827957,2.72849462365591,186,186,-149.9,61.2167,61.9354838709677,59.1720430107527,45.9032258064516,44.244623655914,2016,5
"100","Anchorage",Jun 2016,3.60555555555556,1.86944444444444,180,180,-149.9,61.2167,68.2,65.7111111111111,52.2666666666667,52.4083333333333,2016,6
"101","Anchorage",Jul 2016,3.5,2.41935483870968,186,186,-149.9,61.2167,70.1290322580645,68.489247311828,57.741935483871,56.0430107526882,2016,7
"102","Anchorage",Aug 2016,3.55769230769231,1.99038461538462,156,156,-149.9,61.2167,67.4193548387097,64.4672043010753,54.1612903225806,53.1822580645161,2016,8
"103","Anchorage",Sep 2016,2.82222222222222,3.96666666666667,90,90,-149.9,61.2167,56.6666666666667,53.9822222222222,41.1333333333333,41.7277777777778,2016,9
"104","Anchorage",Oct 2016,2.45698924731183,4.88709677419355,186,186,-149.9,61.2167,43.3870967741936,43.7741935483871,27.3870967741935,30.4462365591398,2016,10
"105","Anchorage",Nov 2016,4.02298850574713,5.23275862068965,174,174,-149.9,61.2167,30.2666666666667,30.6155555555556,19.4333333333333,22.4777777777778,2016,11
"106","Anchorage",Dec 2016,4.03763440860215,6.28494623655914,186,186,-149.9,61.2167,18.6451612903226,18.0268817204301,6.16129032258065,9.48387096774194,2016,12
"107","Anchorage",Jan 2017,5.625,7.68154761904762,168,168,-149.9,61.2167,17.258064516129,17.4930107526882,3.51612903225806,6.94354838709677,2017,1
"108","Anchorage",Feb 2017,4.64285714285714,6.13988095238095,168,168,-149.9,61.2167,23.1785714285714,24.797619047619,10.1428571428571,12.9732142857143,2017,2
"109","Anchorage",Mar 2017,2.88888888888889,5.30277777777778,180,180,-149.9,61.2167,26.9354838709677,25.4290322580645,6.32258064516129,8.39193548387097,2017,3
"110","Anchorage",Apr 2017,2.29166666666667,2.66666666666667,96,96,-149.9,61.2167,46.9047619047619,45.7603174603175,29.7619047619048,31.5603174603175,2017,4
"111","Anchorage",May 2017,3.53787878787879,2.63636363636364,132,132,-149.9,61.2167,55.9354838709677,55.3376344086021,39.8064516129032,40.685752688172,2017,5
"112","Anchorage",Jun 2017,2.6551724137931,2.56609195402299,174,174,-149.9,61.2167,61.4333333333333,61.3655555555556,48.6333333333333,48.8205555555556,2017,6
"113","Anchorage",Jul 2017,3.36111111111111,2.13055555555556,180,180,-149.9,61.2167,65.8709677419355,65.1849462365591,53.0322580645161,53.7903225806452,2017,7
